Year,Series,Units,Value
2016,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%),%,0.01
2017,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%),%,0.19
2018,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%),%,0.46
2019,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%),%,0.36
2020,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%),%,0.07
2021,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%),%,0.99
2022,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%),%,3.49
